Date,Photoperiod-Affected Thermal Time
1978-10-29,5.004485826398309
1978-10-30,5.947678413136375
1978-10-31,6.3724981904654685
1978-11-01,6.473328276815101
1978-11-02,7.26227240482488
1978-11-03,4.4831632316748244
1978-11-04,5.27423471772414
1978-11-05,5.926963167447849
1978-11-06,5.222299277570688
1978-11-07,5.584654533264659
1978-11-08,7.0242640185536365
1978-11-09,4.890881953391914
1978-11-10,3.720862458024433
1978-11-11,3.449763043100711
1978-11-12,4.771948827904266
1978-11-13,3.694539826195247
1978-11-14,4.628610732814625
1978-11-15,5.9032547862718685
1978-11-16,3.5958807382531237
1978-11-17,4.5187033996315185
1978-11-18,5.6306253020788954
1978-11-19,6.1949039182688574
1978-11-20,2.682475453006062
1978-11-21,3.886241606857523
1978-11-22,5.588920000744735
1978-11-23,5.1097407840582685
1978-11-24,5.066816782712252
1978-11-25,1.4595420359253022
1978-11-26,0.9060461783406559
1978-11-27,0.594065434688529
1978-11-28,0.592121765772552
1978-11-29,0.8027447774855513
1978-11-30,0.7767700439302314
1978-12-01,0.2816395852928051
1978-12-02,1.310659538401485
1978-12-03,1.5639507392665148
1978-12-04,2.8173348934527835
1978-12-05,1.207872573800303
1978-12-06,0.4635254962197786
1978-12-07,1.7577032241425128
1978-12-08,2.677576972581341
1978-12-09,4.3086621935271845
