Date,Photoperiod-Affected Thermal Time
1979-09-27,8.797723980250879
1979-09-28,6.588122813211124
1979-09-29,6.585726405627796
1979-09-30,7.496555983702445
1979-10-01,8.021672536365813
1979-10-02,7.574730877107644
1979-10-03,9.457857794985246
1979-10-04,8.945800172392955
1979-10-05,6.536202892808311
1979-10-06,6.257793373850758
1979-10-07,8.836468770291408
1979-10-08,8.367219443312045
1979-10-09,9.675433047836663
1979-10-10,8.339302264150923
1979-10-11,8.206230471576655
1979-10-12,8.281333237715456
1979-10-13,7.825828323013588
1979-10-14,6.584713468138554
1979-10-15,6.608236003550389
1979-10-16,6.805075467682807
1979-10-17,5.2713529651012685
1979-10-18,6.131852711677412
1979-10-19,6.555626914797825
1979-10-20,5.840689541119634
1979-10-21,5.245935854549177
1979-10-22,4.881751041114177
1979-10-23,4.353827017293096
1979-10-24,4.35883992658466
1979-10-25,5.661806481209812
1979-10-26,5.577415667094883
1979-10-27,3.908548530611851
1979-10-28,2.773509252714713
1979-10-29,3.7871784632203407
1979-10-30,3.7139349367095913
1979-10-31,5.274714888746627
1979-11-01,4.3954698175905005
1979-11-02,3.498612983346293
1979-11-03,5.010594200107157
1979-11-04,6.035193955604738
1979-11-05,4.177595184104211
1979-11-06,4.754630685549432
1979-11-07,4.6797336598189965
1979-11-08,2.5987203878165466
1979-11-09,2.2533906382119815
1979-11-10,1.9368873069168278
1979-11-11,2.3843950444960798
1979-11-12,1.9693757067541415
1979-11-13,1.1812474274229703
1979-11-14,1.1759173213096614
1979-11-15,1.7684856110772265
1979-11-16,1.512749827816831
1979-11-17,1.7778505178878106
1979-11-18,2.3850246912735935
1979-11-19,2.987265921062453
1979-11-20,1.414396147948651
1979-11-21,1.8459647632573235
1979-11-22,2.177501298991455
1979-11-23,3.5671775284935077
