Date,Photoperiod-Affected Thermal Time
1979-11-06,4.754630685549432
1979-11-07,4.6797336598189965
1979-11-08,2.5987203878165466
1979-11-09,2.2533906382119815
1979-11-10,1.9368873069168278
1979-11-11,2.3843950444960798
1979-11-12,1.9693757067541415
1979-11-13,1.1812474274229703
1979-11-14,1.1759173213096614
1979-11-15,1.7684856110772265
1979-11-16,1.512749827816831
1979-11-17,1.7778505178878106
1979-11-18,2.3850246912735935
1979-11-19,2.987265921062453
1979-11-20,1.414396147948651
1979-11-21,1.8459647632573235
1979-11-22,2.177501298991455
1979-11-23,3.5671775284935077
1979-11-24,1.9210679744880572
1979-11-25,3.038718664959237
1979-11-26,4.649447494116524
1979-11-27,4.419846834082657
1979-11-28,4.547495161133201
1979-11-29,3.352639953027892
1979-11-30,4.119235081448198
1979-12-01,4.905222777183022
1979-12-02,4.634117653633823
1979-12-03,4.15497360581253
1979-12-04,4.284211738804232
1979-12-05,5.063773482470501
1979-12-06,4.658431237008776
1979-12-07,4.69491782238066
1979-12-08,4.547264341366587
1979-12-09,4.262580244933312
1979-12-10,3.7494816561242756
1979-12-11,2.7332559633231233
1979-12-12,2.4084642097920206
1979-12-13,2.451437922035518
1979-12-14,2.517592513302382
1979-12-15,2.5382910104776886
1979-12-16,2.5365164578671093
1979-12-17,2.2154081555840466
1979-12-18,1.9862776579401427
1979-12-19,0.9586946438147443
1979-12-20,0.8673545512854136
1979-12-21,0.5022148795647863
1979-12-22,0.4795255095451129
